source_url,source_file,retrieval_date,waterbody,survey_type,year,trout_perch_per_trawl,freshwater_drum_per_trawl,black_crappie_per_trawl,walleye_per_trawl,yellow_perch_per_trawl,white_bass_per_trawl,emerald_shiner_per_trawl,gizzard_shad_per_trawl,sauger_per_trawl,bluegill_per_trawl
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1986,1.8,32.9,1.2,0.1,0.1,10.8,0.0,1.6,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1987,3.3,125.3,2.7,0.0,0.3,9.1,0.0,1.8,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1988,9.6,107.6,5.1,0.1,0.2,43.1,0.2,54.3,0.1,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1989,7.0,50.7,3.8,0.1,0.1,18.8,0.0,43.2,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1990,108.8,122.3,3.3,2.9,0.3,90.9,0.2,44.3,0.4,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1991,141.7,237.9,0.4,7.3,1.1,32.9,0.2,284.0,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1992,93.8,7.1,0.3,0.8,0.4,8.2,0.0,1.8,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1993,50.1,7.6,0.1,2.5,0.2,2.3,0.0,1.9,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1994,129.1,49.4,0.6,0.1,0.2,19.1,0.0,1.7,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1995,68.2,160.6,3.3,0.2,0.5,43.0,0.0,0.6,0.0,0.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1996,226.9,55.5,0.1,23.7,0.4,169.1,0.2,0.3,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1997,139.0,22.1,0.3,2.2,0.3,23.4,0.2,2.8,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1998,169.7,122.6,1.1,2.5,0.3,10.4,0.2,0.1,0.0,0.1
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),1999,271.7,92.7,5.0,0.2,0.5,48.8,1.1,12.9,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2000,258.2,107.7,0.3,0.3,0.1,11.7,0.8,25.7,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2001,279.4,38.5,0.2,11.8,2.2,36.5,0.2,0.0,0.0,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2002,391.8,186.4,2.3,1.9,2.1,18.8,0.3,114.8,0.1,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2003,478.2,279.2,1.7,6.5,1.9,60.3,0.0,20.3,0.4,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2004,307.6,61.7,0.7,8.8,5.6,17.8,0.1,3.2,0.4,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2005,315.9,106.2,4.4,11.1,5.4,50.9,0.6,61.0,0.1,0.0
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LakeWinnebagoBottomTrawlingReport2023.pdf,WinnebagoTrawling_2023.pdf,2026-09-08,Lake Winnebago,bottom trawl assessment YOY (fisheries survey; not angler creel),2006,569.0,87.0,1.0,2.4,5.6,23.0,0.3,12.5,0.1,0.0
